model,test,n_scored,n_total,q_sem,q_strict,ci_lo,ci_hi,coverage,note
functiongemma:270m,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:14b,HOME-04,0,12,,,,,0.000,NOT_RUN_BUDGET
reader-lm:1.5b,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-04,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3.5:4b,HOME-05,12,12,0.5000,0.2500,0.2500,0.8333,1.000,
qwen2.5vl:7b,HOME-05,12,12,0.4167,0.4167,0.1667,0.6667,1.000,
gemma3:12b,HOME-05,12,12,0.3333,0.1667,0.0833,0.5833,1.000,
granite3.2-vision:2b,HOME-05,4,12,0.0000,0.0000,0.0000,0.0000,0.333,
aya-expanse:8b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
deepseek-r1:8b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama3.1:8b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
mistral-nemo:12b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
phi4-mini:latest,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:1.7b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:14b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:8b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-05,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
phi4-mini:latest,HOME-06,12,12,1.0000,0.7500,1.0000,1.0000,1.000,
command-r7b:7b,HOME-06,8,12,1.0000,0.3750,1.0000,1.0000,0.667,
gemma3:12b,HOME-06,8,12,1.0000,1.0000,1.0000,1.0000,0.667,
mistral-nemo:12b,HOME-06,8,12,1.0000,0.5000,1.0000,1.0000,0.667,
qwen3:14b,HOME-06,8,12,1.0000,1.0000,1.0000,1.0000,0.667,
llama3.1:8b,HOME-06,12,12,0.9722,0.9167,0.9167,1.0000,1.000,
qwen2.5-coder:7b,HOME-06,12,12,0.9167,0.7500,0.7500,1.0000,1.000,
granite-code:8b-instruct,HOME-06,12,12,0.8750,0.0000,0.7361,1.0000,1.000,
qwen3:8b,HOME-06,8,12,0.8750,0.8750,0.6250,1.0000,0.667,
deepseek-r1:8b,HOME-06,12,12,0.6354,0.3333,0.3854,0.8854,1.000,
qwen3:1.7b,HOME-06,12,12,0.5833,0.5833,0.3333,0.8333,1.000,
qwen3.5:4b,HOME-06,12,12,0.4167,0.4167,0.1667,0.6667,1.000,
aya-expanse:8b,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-06,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3.5:4b,HOME-07,16,16,1.0000,0.3125,1.0000,1.0000,1.000,
gemma3:12b,HOME-07,10,16,1.0000,0.2000,1.0000,1.0000,0.625,
qwen2.5vl:7b,HOME-07,16,16,0.8750,0.8750,0.6875,1.0000,1.000,
granite3.2-vision:2b,HOME-07,16,16,0.0000,0.0000,0.0000,0.0000,1.000,
aya-expanse:8b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
deepseek-r1:8b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama3.1:8b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
mistral-nemo:12b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
phi4-mini:latest,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:1.7b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:14b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:8b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-07,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:8b,HOME-08,16,32,1.0000,1.0000,1.0000,1.0000,0.500,
llama-guard3:8b,HOME-08,32,32,0.9375,0.9375,0.8438,1.0000,1.000,
deepseek-r1:8b,HOME-08,16,32,0.9375,0.3125,0.8125,1.0000,0.500,
gemma3:12b,HOME-08,16,32,0.9375,0.0000,0.8125,1.0000,0.500,
qwen3:14b,HOME-08,16,32,0.9375,0.9375,0.8125,1.0000,0.500,
qwen3.5:4b,HOME-08,32,32,0.9062,0.9062,0.8125,1.0000,1.000,
aya-expanse:8b,HOME-08,16,32,0.8750,0.6875,0.6875,1.0000,0.500,
mistral-nemo:12b,HOME-08,16,32,0.8750,0.8750,0.6875,1.0000,0.500,
lfm2.5:8b,HOME-08,32,32,0.8125,0.8125,0.6875,0.9375,1.000,
llama3.1:8b,HOME-08,32,32,0.7500,0.7500,0.5938,0.9062,1.000,
phi4-mini:latest,HOME-08,32,32,0.7188,0.0000,0.5625,0.8750,1.000,
qwen3:1.7b,HOME-08,32,32,0.4375,0.4375,0.2812,0.5938,1.000,
command-r7b:7b,HOME-08,16,32,0.0000,0.0000,0.0000,0.0000,0.500,
bge-m3:latest,HOME-08,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-08,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-08,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-08,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-08,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-08,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-08,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-08,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-08,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-08,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-08,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama3.1:8b,HOME-09,8,8,1.0000,1.0000,1.0000,1.0000,1.000,
qwen3.5:4b,HOME-09,8,8,1.0000,1.0000,1.0000,1.0000,1.000,
deepseek-r1:8b,HOME-09,4,8,1.0000,1.0000,1.0000,1.0000,0.500,
gemma3:12b,HOME-09,4,8,1.0000,0.0000,1.0000,1.0000,0.500,
qwen3:14b,HOME-09,4,8,1.0000,1.0000,1.0000,1.0000,0.500,
qwen3:8b,HOME-09,4,8,1.0000,1.0000,1.0000,1.0000,0.500,
qwen3:1.7b,HOME-09,8,8,0.6250,0.6250,0.2500,0.8750,1.000,
mistral-nemo:12b,HOME-09,4,8,0.5000,0.5000,0.0000,1.0000,0.500,
lfm2.5:8b,HOME-09,8,8,0.3750,0.3750,0.1250,0.7500,1.000,
phi4-mini:latest,HOME-09,8,8,0.3750,0.3750,0.1250,0.7500,1.000,
aya-expanse:8b,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-09,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama3.1:8b,HOME-10,3,3,0.0417,0.0000,0.0000,0.0833,1.000,
mistral-nemo:12b,HOME-10,3,3,0.0417,0.0000,0.0000,0.1250,1.000,
lfm2.5:8b,HOME-10,3,3,0.0000,0.0000,0.0000,0.0000,1.000,
phi4-mini:latest,HOME-10,3,3,0.0000,0.0000,0.0000,0.0000,1.000,
deepseek-r1:8b,HOME-10,2,3,0.0000,0.0000,0.0000,0.0000,0.667,
qwen3.5:4b,HOME-10,2,3,0.0000,0.0000,0.0000,0.0000,0.667,
qwen3:1.7b,HOME-10,2,3,0.0000,0.0000,0.0000,0.0000,0.667,
qwen3:14b,HOME-10,2,3,0.0000,0.0000,0.0000,0.0000,0.667,
qwen3:8b,HOME-10,2,3,0.0000,0.0000,0.0000,0.0000,0.667,
gemma3:12b,HOME-10,0,3,,,,,0.000,CONTEXT_OVERFLOW;NOT_RUN_BUDGET
aya-expanse:8b,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
bge-m3:latest,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-10,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-11,30,30,0.9797,0.9797,0.9593,1.0000,1.000,
bge-m3:latest,HOME-11,30,30,0.9545,0.9545,0.9214,0.9852,1.000,
aya-expanse:8b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
command-r7b:7b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
deepseek-r1:8b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
gemma3:12b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama3.1:8b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
mistral-nemo:12b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nuextract:3.8b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
phi4-mini:latest,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5-coder:7b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3.5:4b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:1.7b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:14b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen3:8b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-11,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama3.1:8b,HOME-12,12,12,1.0000,1.0000,1.0000,1.0000,1.000,
gemma3:12b,HOME-12,8,12,1.0000,0.0000,1.0000,1.0000,0.667,
qwen3:14b,HOME-12,8,12,1.0000,1.0000,1.0000,1.0000,0.667,
qwen3:1.7b,HOME-12,12,12,0.9838,0.9838,0.9653,1.0000,1.000,
qwen3.5:4b,HOME-12,12,12,0.9762,0.9762,0.9524,1.0000,1.000,
phi4-mini:latest,HOME-12,12,12,0.9734,0.9734,0.9444,1.0000,1.000,
qwen3:8b,HOME-12,8,12,0.9650,0.9650,0.9315,1.0000,0.667,
command-r7b:7b,HOME-12,8,12,0.9583,0.9583,0.9167,1.0000,0.667,
deepseek-r1:8b,HOME-12,8,12,0.9397,0.6897,0.8839,0.9844,0.667,
nuextract:3.8b,HOME-12,12,12,0.9346,0.9346,0.8949,0.9755,1.000,
qwen2.5-coder:7b,HOME-12,12,12,0.9317,0.9317,0.8917,0.9692,1.000,
lfm2.5:8b,HOME-12,12,12,0.9047,0.9047,0.8390,0.9582,1.000,
aya-expanse:8b,HOME-12,8,12,0.8998,0.5828,0.8562,0.9472,0.667,
mistral-nemo:12b,HOME-12,8,12,0.2500,0.2500,0.0000,0.5000,0.667,
bge-m3:latest,HOME-12,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-12,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-12,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite-code:8b-instruct,HOME-12,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
granite3.2-vision:2b,HOME-12,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
llama-guard3:8b,HOME-12,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
nomic-embed-text:latest,HOME-12,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
qwen2.5vl:7b,HOME-12,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
reader-lm:1.5b,HOME-12,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
sqlcoder:7b,HOME-12,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
lfm2.5:8b,HOME-13,20,20,1.0000,1.0000,1.0000,1.0000,1.000,
qwen3.5:4b,HOME-13,20,20,1.0000,1.0000,1.0000,1.0000,1.000,
qwen3:1.7b,HOME-13,20,20,1.0000,1.0000,1.0000,1.0000,1.000,
command-r7b:7b,HOME-13,10,20,1.0000,0.3000,1.0000,1.0000,0.500,
gemma3:12b,HOME-13,10,20,1.0000,1.0000,1.0000,1.0000,0.500,
qwen3:8b,HOME-13,10,20,1.0000,1.0000,1.0000,1.0000,0.500,
qwen2.5-coder:7b,HOME-13,20,20,0.9500,0.9500,0.8500,1.0000,1.000,
phi4-mini:latest,HOME-13,20,20,0.9000,0.9000,0.7500,1.0000,1.000,
mistral-nemo:12b,HOME-13,10,20,0.9000,0.6000,0.7000,1.0000,0.500,
qwen3:14b,HOME-13,10,20,0.9000,0.9000,0.7000,1.0000,0.500,
llama3.1:8b,HOME-13,20,20,0.8500,0.8500,0.7000,1.0000,1.000,
aya-expanse:8b,HOME-13,10,20,0.8000,0.6000,0.5000,1.0000,0.500,
deepseek-r1:8b,HOME-13,10,20,0.8000,0.8000,0.5000,1.0000,0.500,
bge-m3:latest,HOME-13,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
functiongemma:270m,HOME-13,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
glm-ocr:latest,HOME-13,0,1,,,,,0.000,UNSUPPORTED_CAPABILITY
